Time,A,Angry,Blink,Blink_L,Blink_R,E,Fun,I,Joy,LookDown,LookLeft,LookRight,LookUp,Neutral,O,Sorrow,Surprised,U
6.173349,0.005650858,0,0.1845357,0,0,0.0001388555,0,0.01510054,0,0,0,0,0,1,0.391496,0,0,0.001406981
6.287943,0.001005731,0,0.4804202,0,0,2.47133E-05,0,0.002687571,0,0,0,0,0,1,0.06967787,0,0,0.0002504123
6.406037,0.0001789986,0,0.2030801,0,0,4.398437E-06,0,0.0004783299,0,0,0,0,0,1,0.01240116,0,0,4.456801E-05
6.521132,0.003670669,0,0.0002092665,0,0,0.0005069975,0,0,0,0,0,0,0,1,0,0,0,5.64294E-05
6.631042,0.001786237,0,0,0,0,0.0002467173,0,0,0,0,0,0,0,1,0,0,0,2.745992E-05
6.743859,0.1177623,0,0,0,0,0.05538005,0,0,0,0,0,0,0,1,0,0,0,1.170343E-05
6.863747,0.4348203,0,0,0,0,0.2313586,0,0,0,0,0,0,0,1,0,0,0,4.554373E-06
6.970448,0.4995717,0,0,0,0,0.2878407,0,0.0877018,0,0,0,0,0,1,0.005231741,0,0,1.880213E-05
7.083439,0.03894624,0,0,0,0,3.302553E-07,0,0.01560904,0,0,0,0,0,1,0.0009311374,0,0,0.3843326
7.193877,0.006931594,0,0,0,0,5.877835E-08,0,0.002778073,0,0,0,0,0,1,0.0001657224,0,0,0.06840295
7.300168,0.2195787,0,0,0,0,0.1290864,0,0.5473695,0,0,0,0,0,1,2.949503E-05,0,0,0.01217425
7.407879,0.1051505,0,0,0,0,0.0618161,0,0.5550372,0,0,0,0,0,1,5.249482E-06,0,0,0.2520418
7.512988,0.04503624,0,0,0,0,0.02647599,0,0.09502201,0,0,0,0,0,1,8.987079E-07,0,0,0.8334649
7.61965,0.04219446,0,0,0,0,5.897768E-11,0,0.01758156,0,0,0,0,0,1,0.04218767,0,0,0.2135093
7.736488,0.04518306,0,0,0,0,0.01252174,0,0.01816717,0,0,0,0,0,1,0.005631374,0,0,0.4657813
7.845466,0.009438512,0,0.9911419,0,0,0.005548731,0,0.003233366,0,0,0,0,0,1,0.001002264,0,0,0.6585389
7.950833,0.004445667,0,0.9186734,0,0,0.002613527,0,0.6109235,0,0,0,0,0,1,0.0002378418,0,0,0.1562744
8.064477,0.001544098,0,0.7980669,0,0,0.0009077476,0,0.7663484,0,0,0,0,0,1,4.233074E-05,0,0,0.02781348
8.177497,6.044838E-05,0,0.4775218,0,0,1.053236E-14,0,0.3315108,0,0,0,0,0,1,7.533962E-06,0,0,0.004950202
8.29465,1.075851E-05,0,0.01550443,0,0,1.874534E-15,0,0.05900179,0,0,0,0,0,1,1.340883E-06,0,0,0.0008810296
8.410049,1.914784E-06,0,0,0,0,3.336267E-16,0,0.01050105,0,0,0,0,0,1,2.386484E-07,0,0,0.0001568044
8.526414,0.2007617,0,0,0,0,0.1655466,0,0,0,0,0,0,0,1,0,0,0,1.132154E-09
8.643353,0.57801,0,0,0,0,0.2702699,0,0.003322598,0,0,0,0,0,1,7.550985E-08,0,0,4.961387E-05
8.757686,0.902011,0,0,0,0,0.09740351,0,0.0005768224,0,0,0,0,0,1,1.310895E-08,0,0,8.613258E-06
8.872312,0.9653425,0,0,0,0,0.03455294,0,0.0001029969,0,0,0,0,0,1,2.340723E-09,0,0,1.537976E-06
8.988638,0.5874025,0,0,0,0,5.951257E-19,0,1.873185E-05,0,0,0,0,0,1,0.2734375,0,0,2.797087E-07
9.101277,0.4333537,0,0.2259944,0,0,1.059196E-19,0,3.333867E-06,0,0,0,0,0,1,0.3774746,0,0,4.978214E-08
9.213404,0.4059362,0,0.3173358,0,0,1.885141E-20,0,5.933566E-07,0,0,0,0,0,1,0.395991,0,0,8.860152E-09
9.326249,0.1698065,0,0.01260913,0,0,3.355146E-21,0,1.056047E-07,0,0,0,0,0,1,0.1680365,0,0,1.576917E-09
9.436583,0.03022191,0,0.02060584,0,0,5.97144E-22,0,1.879537E-08,0,0,0,0,0,1,0.02990689,0,0,2.806573E-10
9.544031,0.005378851,0,0.07011832,0,0,1.062788E-22,0,3.345173E-09,0,0,0,0,0,1,0.005322784,0,0,4.995097E-11
9.652929,0.03978765,0,0.07647311,0,0,0.02781828,0,0,0,0,0,0,0,1,0,0,0,3.253028E-11
9.76199,0.3260341,0,0.00652166,0,0,0.09717096,0,0,0,0,0,0,0,1,0,0,0,1.480324E-11
